EloGroup,ECO,Count,Proportion
1500-1999,E38,3,1.1804517195246714e-4
1500-1999,E41,3,1.1804517195246714e-4
1500-1999,E62,3,1.1804517195246714e-4
1500-1999,E80,3,1.1804517195246714e-4
1500-1999,E92,3,1.1804517195246714e-4
1500-1999,E94,3,1.1804517195246714e-4
1500-1999,A32,2,7.869678130164477e-5
1500-1999,A37,2,7.869678130164477e-5
1500-1999,A49,2,7.869678130164477e-5
1500-1999,A60,2,7.869678130164477e-5
1500-1999,A65,2,7.869678130164477e-5
1500-1999,A73,2,7.869678130164477e-5
1500-1999,A98,2,7.869678130164477e-5
1500-1999,B04,2,7.869678130164477e-5
1500-1999,B11,2,7.869678130164477e-5
1500-1999,B36,2,7.869678130164477e-5
1500-1999,B74,2,7.869678130164477e-5
1500-1999,B77,2,7.869678130164477e-5
1500-1999,B89,2,7.869678130164477e-5
1500-1999,B91,2,7.869678130164477e-5
1500-1999,B93,2,7.869678130164477e-5
1500-1999,B94,2,7.869678130164477e-5
1500-1999,B98,2,7.869678130164477e-5
1500-1999,C27,2,7.869678130164477e-5
1500-1999,C56,2,7.869678130164477e-5
1500-1999,C89,2,7.869678130164477e-5
1500-1999,C90,2,7.869678130164477e-5
1500-1999,D09,2,7.869678130164477e-5
1500-1999,D16,2,7.869678130164477e-5
1500-1999,D23,2,7.869678130164477e-5
1500-1999,D33,2,7.869678130164477e-5
1500-1999,D34,2,7.869678130164477e-5
1500-1999,D36,2,7.869678130164477e-5
1500-1999,D41,2,7.869678130164477e-5
1500-1999,D56,2,7.869678130164477e-5
1500-1999,D63,2,7.869678130164477e-5
1500-1999,D73,2,7.869678130164477e-5
1500-1999,D86,2,7.869678130164477e-5
1500-1999,E06,2,7.869678130164477e-5
1500-1999,E18,2,7.869678130164477e-5
1500-1999,E33,2,7.869678130164477e-5
1500-1999,E40,2,7.869678130164477e-5
1500-1999,E65,2,7.869678130164477e-5
1500-1999,E85,2,7.869678130164477e-5
1500-1999,E97,2,7.869678130164477e-5
1500-1999,A24,1,3.934839065082238e-5
1500-1999,A26,1,3.934839065082238e-5
1500-1999,A59,1,3.934839065082238e-5
1500-1999,A86,1,3.934839065082238e-5
1500-1999,A87,1,3.934839065082238e-5
1500-1999,A89,1,3.934839065082238e-5
1500-1999,A92,1,3.934839065082238e-5
1500-1999,A96,1,3.934839065082238e-5
1500-1999,B26,1,3.934839065082238e-5
1500-1999,B37,1,3.934839065082238e-5
1500-1999,B39,1,3.934839065082238e-5
1500-1999,B60,1,3.934839065082238e-5
1500-1999,B62,1,3.934839065082238e-5
1500-1999,B71,1,3.934839065082238e-5
1500-1999,B82,1,3.934839065082238e-5
1500-1999,B87,1,3.934839065082238e-5
1500-1999,B99,1,3.934839065082238e-5
1500-1999,C08,1,3.934839065082238e-5
1500-1999,C74,1,3.934839065082238e-5
1500-1999,C91,1,3.934839065082238e-5
1500-1999,C97,1,3.934839065082238e-5
1500-1999,D14,1,3.934839065082238e-5
1500-1999,D27,1,3.934839065082238e-5
1500-1999,D52,1,3.934839065082238e-5
1500-1999,D57,1,3.934839065082238e-5
1500-1999,D61,1,3.934839065082238e-5
1500-1999,D72,1,3.934839065082238e-5
1500-1999,D77,1,3.934839065082238e-5
1500-1999,E04,1,3.934839065082238e-5
1500-1999,E05,1,3.934839065082238e-5
1500-1999,E15,1,3.934839065082238e-5
1500-1999,E16,1,3.934839065082238e-5
1500-1999,E22,1,3.934839065082238e-5
1500-1999,E26,1,3.934839065082238e-5
1500-1999,E36,1,3.934839065082238e-5
1500-1999,E43,1,3.934839065082238e-5
1500-1999,E49,1,3.934839065082238e-5
1500-1999,E53,1,3.934839065082238e-5
1500-1999,E68,1,3.934839065082238e-5
1500-1999,E72,1,3.934839065082238e-5
1500-1999,E82,1,3.934839065082238e-5
1500-1999,E84,1,3.934839065082238e-5
2000+,A00,94,0.06167979002624672
2000+,B21,82,0.05380577427821522
2000+,C00,54,0.03543307086614173
2000+,A02,51,0.03346456692913386
2000+,C41,46,0.030183727034120734
2000+,A03,45,0.02952755905511811
2000+,B30,36,0.023622047244094488
2000+,C02,36,0.023622047244094488
2000+,D02,33,0.021653543307086614
2000+,A40,28,0.01837270341207349
2000+,B00,28,0.01837270341207349
2000+,C45,27,0.017716535433070866
2000+,A45,23,0.015091863517060367
2000+,B10,22,0.014435695538057743
2000+,C47,22,0.014435695538057743
2000+,B20,21,0.013779527559055118
2000+,A51,20,0.013123359580052493
2000+,B07,19,0.012467191601049869
2000+,A52,18,0.011811023622047244
2000+,B28,18,0.011811023622047244
2000+,B23,17,0.01115485564304462
2000+,B40,16,0.010498687664041995
2000+,C42,16,0.010498687664041995
2000+,C55,16,0.010498687664041995
2000+,D10,16,0.010498687664041995
2000+,B02,15,0.00984251968503937
2000+,D00,15,0.00984251968503937
2000+,D31,14,0.009186351706036745
2000+,D35,14,0.009186351706036745
2000+,C30,13,0.00853018372703412
2000+,C40,13,0.00853018372703412
2000+,C50,13,0.00853018372703412
2000+,B01,12,0.007874015748031496
2000+,B06,12,0.007874015748031496
2000+,B12,12,0.007874015748031496
2000+,B32,12,0.007874015748031496
2000+,C33,12,0.007874015748031496
2000+,D06,12,0.007874015748031496
2000+,C11,11,0.007217847769028871
2000+,B22,10,0.006561679790026247
2000+,B50,9,0.005905511811023622
2000+,C01,9,0.005905511811023622
2000+,C44,9,0.005905511811023622
2000+,D37,9,0.005905511811023622
2000+,A43,8,0.005249343832020997
2000+,B31,8,0.005249343832020997
2000+,C39,8,0.005249343832020997
2000+,A04,7,0.004593175853018373
2000+,A21,7,0.004593175853018373
2000+,A46,7,0.004593175853018373
2000+,B03,7,0.004593175853018373
2000+,B15,7,0.004593175853018373
2000+,B90,7,0.004593175853018373
2000+,C10,7,0.004593175853018373
2000+,C23,7,0.004593175853018373
2000+,C26,7,0.004593175853018373
2000+,D03,7,0.004593175853018373
2000+,D36,7,0.004593175853018373
2000+,D43,7,0.004593175853018373
2000+,D94,7,0.004593175853018373
2000+,A16,6,0.003937007874015748
2000+,B34,6,0.003937007874015748
2000+,B43,6,0.003937007874015748
2000+,B72,6,0.003937007874015748
2000+,C20,6,0.003937007874015748
2000+,C43,6,0.003937007874015748
2000+,D11,6,0.003937007874015748
2000+,E00,6,0.003937007874015748
2000+,E20,6,0.003937007874015748
2000+,A50,5,0.0032808398950131233
2000+,B11,5,0.0032808398950131233
2000+,B18,5,0.0032808398950131233
2000+,B33,5,0.0032808398950131233
2000+,B51,5,0.0032808398950131233
2000+,C14,5,0.0032808398950131233
2000+,D30,5,0.0032808398950131233
2000+,E22,5,0.0032808398950131233
2000+,E90,5,0.0032808398950131233
2000+,A05,4,0.0026246719160104987
2000+,A20,4,0.0026246719160104987
2000+,A56,4,0.0026246719160104987
2000+,B13,4,0.0026246719160104987
2000+,B38,4,0.0026246719160104987
2000+,B44,4,0.0026246719160104987
2000+,B52,4,0.0026246719160104987
2000+,B84,4,0.0026246719160104987
2000+,C13,4,0.0026246719160104987
2000+,C34,4,0.0026246719160104987
2000+,C48,4,0.0026246719160104987
2000+,C61,4,0.0026246719160104987
2000+,C62,4,0.0026246719160104987
2000+,C84,4,0.0026246719160104987
2000+,A06,3,0.001968503937007874
2000+,A07,3,0.001968503937007874
2000+,A08,3,0.001968503937007874
2000+,A09,3,0.001968503937007874
2000+,A48,3,0.001968503937007874
2000+,A60,3,0.001968503937007874
2000+,A85,3,0.001968503937007874
2000+,B08,3,0.001968503937007874
2000+,B17,3,0.001968503937007874
2000+,B42,3,0.001968503937007874
2000+,B53,3,0.001968503937007874
2000+,B85,3,0.001968503937007874
2000+,B91,3,0.001968503937007874
2000+,B92,3,0.001968503937007874
2000+,C17,3,0.001968503937007874
2000+,C21,3,0.001968503937007874
2000+,C31,3,0.001968503937007874
2000+,C36,3,0.001968503937007874
2000+,C58,3,0.001968503937007874
2000+,D20,3,0.001968503937007874
2000+,D85,3,0.001968503937007874
2000+,E61,3,0.001968503937007874
2000+,E92,3,0.001968503937007874
2000+,A27,2,0.0013123359580052493
2000+,A29,2,0.0013123359580052493
2000+,A30,2,0.0013123359580052493
2000+,A31,2,0.0013123359580052493
2000+,A41,2,0.0013123359580052493
2000+,A53,2,0.0013123359580052493
2000+,A67,2,0.0013123359580052493
2000+,A80,2,0.0013123359580052493
2000+,B04,2,0.0013123359580052493
2000+,B35,2,0.0013123359580052493
2000+,B41,2,0.0013123359580052493
2000+,B89,2,0.0013123359580052493
2000+,B94,2,0.0013123359580052493
2000+,C05,2,0.0013123359580052493
2000+,C12,2,0.0013123359580052493
2000+,C15,2,0.0013123359580052493
2000+,C24,2,0.0013123359580052493
2000+,C25,2,0.0013123359580052493
2000+,C28,2,0.0013123359580052493
2000+,C54,2,0.0013123359580052493
2000+,C57,2,0.0013123359580052493
2000+,C65,2,0.0013123359580052493
2000+,C66,2,0.0013123359580052493
2000+,C67,2,0.0013123359580052493
2000+,C68,2,0.0013123359580052493
2000+,C78,2,0.0013123359580052493
2000+,D12,2,0.0013123359580052493
2000+,D38,2,0.0013123359580052493
2000+,D40,2,0.0013123359580052493
2000+,D41,2,0.0013123359580052493
2000+,D45,2,0.0013123359580052493
2000+,D50,2,0.0013123359580052493
2000+,D53,2,0.0013123359580052493
2000+,D60,2,0.0013123359580052493
2000+,E27,2,0.0013123359580052493
2000+,E70,2,0.0013123359580052493
2000+,E77,2,0.0013123359580052493
2000+,E91,2,0.0013123359580052493
2000+,A10,1,6.561679790026247e-4
2000+,A11,1,6.561679790026247e-4
2000+,A13,1,6.561679790026247e-4
2000+,A15,1,6.561679790026247e-4
2000+,A17,1,6.561679790026247e-4
2000+,A18,1,6.561679790026247e-4
